TPropertyName	TPropertyValue	TThumbPath	TLabel	TCategory	TCategory2	TPath	TParentDir	TTags	TDescription	TParameter	TComment
1girl	1girl		1人の女の子	人物	キャラクター						rgba(255, 123, 2, .4)
1boy	1boy		1人の男の子	人物	キャラクター						rgba(255, 123, 2, .4)
2girls	2girls		2人の女の子	人物	キャラクター						rgba(255, 123, 2, .4)
2boys	2boys		2人の男の子	人物	キャラクター						rgba(255, 123, 2, .4)
3girls	3girls		3人の女の子	人物	キャラクター						rgba(255, 123, 2, .4)
3boys	3boys		3人の男の子	人物	キャラクター						rgba(255, 123, 2, .4)
girl	girl		女の子	人物	キャラクター						rgba(255, 123, 2, .4)
boy	boy		男の子	人物	キャラクター						rgba(255, 123, 2, .4)
solo	solo		一人	人物	キャラクター						rgba(255, 123, 2, .4)
multiple_girls	multiple_girls		複数の女の子	人物	キャラクター						rgba(255, 123, 2, .4)
little_girl	little_girl		小さな女の子	人物	キャラクター						rgba(255, 123, 2, .4)
little_boy	little_boy		小さな男の子	人物	キャラクター						rgba(255, 123, 2, .4)
shota	shota		ショタ	人物	キャラクター						rgba(255, 123, 2, .4)
loli	loli		ロリ	人物	キャラクター						rgba(255, 123, 2, .4)
kawaii	kawaii		可愛い	人物	キャラクター						rgba(255, 123, 2, .4)
mesugaki	mesugaki		メスガキ	人物	キャラクター						rgba(255, 123, 2, .4)
adorable_girl	adorable_girl		可愛い女の子	人物	キャラクター						rgba(255, 123, 2, .4)
bishoujo	bishoujo		美少女	人物	キャラクター						rgba(255, 123, 2, .4)
gyaru	gyaru		ギャル	人物	キャラクター						rgba(255, 123, 2, .4)
sisters	sisters		姉妹	人物	キャラクター						rgba(255, 123, 2, .4)
ojousama	ojousama		お嬢様	人物	キャラクター						rgba(255, 123, 2, .4)
female	female		女性	人物	キャラクター						rgba(255, 123, 2, .4)
mature_female	mature_female		成熟した女性	人物	キャラクター						rgba(255, 123, 2, .4)
mature	mature		成熟した	人物	キャラクター						rgba(255, 123, 2, .4)
female_pervert	female_pervert		痴女	人物	キャラクター						rgba(255, 123, 2, .4)
male	male		男性	人物	キャラクター						rgba(255, 123, 2, .4)
milf	milf		熟女	人物	キャラクター						rgba(255, 123, 2, .4)
otoko_no_ko	otoko_no_ko		男の娘	人物	キャラクター						rgba(255, 123, 2, .4)
crossdressing	crossdressing		女装	人物	キャラクター						rgba(255, 123, 2, .4)
lifeguard	lifeguard		ライフセーバー	人物	身分						rgba(255, 123, 2, .4)
boxer	boxer		ボクサー	人物	身分						rgba(255, 123, 2, .4)
scientist	scientist		科学者	人物	身分						rgba(255, 123, 2, .4)
athletes	athletes		アスリート	人物	身分						rgba(255, 123, 2, .4)
office lady	office lady		オフィスレディ	人物	身分						rgba(255, 123, 2, .4)
monk	monk		修道士	人物	身分						rgba(255, 123, 2, .4)
crobat	crobat		曲芸師	人物	身分						rgba(255, 123, 2, .4)
nun	nun		修道女	人物	身分						rgba(255, 123, 2, .4)
nurse	nurse		看護師	人物	身分						rgba(255, 123, 2, .4)
stewardess	stewardess		スチュワーデス	人物	身分						rgba(255, 123, 2, .4)
student	student		学生	人物	身分						rgba(255, 123, 2, .4)
waitress	waitress		ウェイトレス	人物	身分						rgba(255, 123, 2, .4)
teacher	teacher		教師	人物	身分						rgba(255, 123, 2, .4)
racer	racer		レーサー	人物	身分						rgba(255, 123, 2, .4)
police	police		警察官	人物	身分						rgba(255, 123, 2, .4)
soldier	soldier		兵士	人物	身分						rgba(255, 123, 2, .4)
cheerleader	cheerleader		チアリーダー	人物	身分						rgba(255, 123, 2, .4)
actor	actor		俳優	人物	身分						rgba(255, 123, 2, .4)
actress	actress		女優	人物	身分						rgba(255, 123, 2, .4)
